,Name,Region/ City / Neighborhood,Research URL,Description
39,Data Rabbit API (Requires Payment),National ,https://datarabbitapi.io/,"Imports MLS data source from third parties such as Bridge API, Spark API, Trestles, MLS Grid, ListHub, XML/CSV, EverNet, and custom data bases"
40,Zillow API ,National ,https://www.zillow.com/howto/api/APIOverview.htm,"Allows us to provide a Web-based user interface directly to consumer - Include Zillow text, images, and links in all API input and output elements"
41,Realtime API,Los Angeles,https://developer.metro.net/api/,Provides access to the positions of Metro vehicles in real time as they travel their routes.
42,Opportunity Insights,National ,https://tracktherecovery.org/,"This website contains datasets which track the economic impacts of COVID-19 on people, businesses, and communities across the United States in real time."
43,Walk Score,National,https://www.walkscore.com/professional/api.php,For tracking foot traffic on retail hubs
44,Rent Estimate,National,https://rapidapi.com/moneals/api/rent-estimate,For rent estimates on properties
45,RPR API,National,https://support.narrpr.com/hc/en-us/articles/204962850-API-FAQs,Provides public records data on properties
46,Bridge API (requires payment),National,https://www.bridgeinteractive.com/developers/bridge-api/,Provides MLS property listings data
47,DashCMA (requires payment),National,https://dashcma.com/,Tool for pricing homes
48,SmartZip Analytics,National,https://smartzip.com/data.cfm,Predictive marketing tool
49,Wealth-X,National,https://www.wealthx.com/solutions/database-access/api/,"Provides data on executives, CEOs ang high net worth people."
50,Preqin,National,https://www.preqin.com/data/real-estate,Provides contact details and full investment history of investors 
51,PropertyIDX (No API),NYC,https://www.propertyidx.com/,I-sales listings website
52,Dodge Analytics,National,https://www.construction.com/products,Construction data and analytics firm
53,Dun & Bradstreet (formerly Hoovers),National,https://developer.dnb.com/#/home,Commercial data and analytics
54,Crunchbase,National,https://data.crunchbase.com/docs/using-the-api,Platform for finding info on business such as funding and execs
55,Esri,National,https://developers.arcgis.com/,Location mapping software
56,Mergent Online,National,https://www.programmableweb.com/api/mergent-company-fundamentals,Provides financial information on US and Canada companies
57,LexisNexis,National,https://www.lexisnexis.com/en-us/professional/data-as-a-service/daas.page,Legal and business research platform
58,ISS Governance,National,https://www.issgovernance.com/esg/ratings/governance-qualityscore/,Analyzes the governance of companies
59,Refinitiv,National,https://developers.refinitiv.com/en/api-catalog,"Data platform covering investment banks, funds, commodities, etc. "
60,Nasdaq,National,https://www.nasdaq.com/solutions/cloud-data-service,Provides data on performance of indexes and public companies
61,FamilySearch,National,https://www.familysearch.org/developers/docs/guides/getting-started,Genealogy website
62,Ancestry.com obits data (No API),National,https://www.ancestry.com/search/collections/61843/,Genealogy website
63,Ancestry.com funeral home data (No API),National,https://www.ancestry.com/search/collections/2190/,Genealogy website
64,CB Insights,National,https://www.cbinsights.com/investor/rapidapi,Data platform claims to identify emerging trends and disruptors 
65,Estated,National,https://estated.com/property-data-api,Property data website
66,Moody's,National,https://www.reis.com/capabilities/data/,CRE data platform
67,Reonomy,National,https://api.reonomy.com/v2/docs/,CRE data platform
68,RedIQ,National,https://www.rediq.com/product/,Underwriting tool for multifamily owners and brokers
69,IdealSpot,National,https://rapidapi.com/idealspot-inc-idealspot-inc-default/api/idealspot-geodata,Traffic data
70,Regis Online (No API),National,https://sitesusa.com/Data,Mapping and demographics data platform
71,ArcGIS Business Analyst (No API),National,https://www.esri.com/en-us/arcgis/products/arcgis-business-analyst/data-infographics,Mapping and demographics data platform
72,Piinpoint (No API),National,https://www.piinpoint.com/,Location analysis data platform
73,ESRI Tapestry (No API),National,https://www.esri.com/en-us/arcgis/products/tapestry-segmentation/overview,Demographics data platform
74,Midwest Real Estate Data (No API),National,https://ww2.mredllc.com/,MLS service that covers Chicago
75,Knight Frank Wealth Report (No API),National ,https://www.knightfrank.com/wealthreport,Report that tracks global wealth distribution
76,Nareit,National,https://www.reit.com/news/publications,Various reports/publications on public REIT stocks.
73,Redfin (No API),National,https://www.redfin.com/news/data-center/,Home listings website
74,StreetEasy (No API),NYC,"https://streeteasy.com/blog/data-dashboard/?agg=Total&metric=Inventory&type=Sales&bedrooms=Any%20Bedrooms&property=Any%20Property%20Type&minDate=2010-01-01&maxDate=2021-01-01&area=Flatiron,Brooklyn%20Heights",Home listings website
